'TrafficShaping.Feasible.mono_output' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.Feasible.mono_input' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.Feasible.card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.Law.zero_privacy_iff_tv' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.Law.repair_tv_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.Law.privatePair_of_tv' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.Law.forbidden_event' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.value_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.matching_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.terminal_subset_of_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.saturateOn_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.exists_fullInput_superset' depends on axioms: [propext, Classical.choice, Quot.sound]
