'TrafficShaping.Law.repair_tv_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.value_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.greedy_true_iff_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.terminal_subset_of_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_converse_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.causal_converse_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.repairMechanism_tv' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.input_coverage_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.executeState_servedFeasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.executeState_queue_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.executeState_served_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.execute_cap' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.execute_causal' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.execute_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.execute_eq_of_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.onRepair_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.onMechanism_causal' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.onMechanism_tv' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.onMechanism_private' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.causal_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_optimum_isLeast' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.causal_optimum_isLeast' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_optimum_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.causal_optimum_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_optimum_epsilon_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.causal_optimum_epsilon_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.both_optima_attained_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.mechanism_impossible_of_budget_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
