'TrafficShaping.greedy_true_iff_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_converse_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.causal_converse_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.repairMechanism_tv' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.input_coverage_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.repairMechanism_private' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.offRepair_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.offRepair_cap' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.offRepair_fixes' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_optimum_isLeast' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_optimum_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausal_optimum_epsilon_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
